id,name,description,price,unit,image_url,badge,in_stock,featured,created_at
"1","Jumboo Red Dragon Fruit Plant","The Jumbo Red Dragon Fruit, also known as Red Pitaya or Strawberry Pear, is a striking variety of dragon fruit characterized by its large, bright red fruit with a vibrant red flesh and black, edible seeds","100","plant","img/1.jpg","Top Seller","true","true","2026-01-01T00:00:00.000Z"
"2","Morrocan Red Dragon Fruit Plant","Moroccan Red dragon fruit is a red-fleshed variety of dragon fruit known for its vibrant red skin and flesh, and relatively sweet, tangy taste. ","100","plant","https://5.imimg.com/data5/ANDROID/Default/2021/10/TS/RB/PL/71508076/product-jpeg.jpg","Best Product","true","true","2026-01-02T00:00:00.000Z"
"3","C Variety Dragon Fruit Plant","The term C variety dragon fruit generally refers to a specific type of dragon fruit, often associated with the Siam Red variety, known for its striking red skin and sweet, succulent red flesh.","100","plant","https://5.imimg.com/data5/SELLER/Default/2025/4/501833980/UP/HO/ET/18505715/pink-rose-dragon-fruit-plant-500x500.jpg","","true","false","2026-01-03T00:00:00.000Z"
"4","Regular Red Dragon Fruit Plant","A regular red dragon fruit, also known as red pitaya, is a variety of dragon fruit characterized by its bright pink or red skin with green, scale-like protrusions and deep red or magenta flesh, speckled with tiny black seeds","100","plant","https://media.post.rvohealth.io/wp-content/uploads/2024/01/A-pink-pitahaya-cut-it-in-half-Dragon-Fruit-facebook.jpg","","true","false","2026-01-04T00:00:00.000Z"
"5","Vietnamese Dragon Fruit Plant","Vietnamese dragon fruit, also known as pitaya or strawberry pear, is a tropical fruit with a vibrant exterior and sweet, seed-speckled pulp. ","180","plant","https://dragonfruitobsession.github.io/varieties/Variety%20Photos/Vietnam%20White/Vietnam%20White%20-%20Fruit%204.jpg","","true","true","2026-01-05T00:00:00.000Z"
"6","Israel Yellow Dragon Fruit Plant","Its sweet and mildly tangy flavor profile makes it a delightful addition to smoothies, fruit salads, desserts.Israeli yellow Dragon fruit is Sweet,Juicy and very delicious test.","200","plant","img/6.jpg","","true","false","2026-01-06T00:00:00.000Z"
"7","Palora Dragon Fruit Plant","Palora dragon fruit, also known as yellow dragon fruit, is a variety of dragon fruit characterized by its yellow skin and sweet white flesh, cultivar of Selenicereus megalanthus and originates from the town of Palora in Ecuador. ","350","plant","img/7.jpg","","true","false","2026-01-07T00:00:00.000Z"
"8","Desert King Dragon Fruit Plant","Desert King dragon fruit is a high-yield, grafted variety known for its large, juicy, and sweet red flesh. It's a popular choice for both home gardeners and commercial growers due to its early and abundant fruit production.","600","plant","img/8.jpg","Premium","true","true","2026-01-08T00:00:00.000Z"
"9","Godzilla Dragon Fruit Plant","Godzilla dragon fruit, also known as Japanese Godzilla, is a variety known for its robust green-grey stems, vibrant pink/red skin with green tips, and bright pink, firm, and sweet flesh. It originated in Japan and is characterized by its rounded fruit shape and a natural waxy coating on the stems that acts as sunscreen.","400","plant","https://5.imimg.com/data5/ANDROID/Default/2023/1/IG/DK/RV/180142912/product-jpeg-500x500.jpg","","true","false","2026-01-09T00:00:00.000Z"
"10","Bruni Dragon Fruit Plant","Bruni dragon fruit is a unique white-fleshed variety, known for its small size and complex, flavorful taste often described as having hints of coconut or floral notes, sometimes even resembling lychee or longan","350","plant","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUQQAuPCIKsL_YOF8YVKm6XWgKir2p3liKP2yqhrqWSD9oZWrWIjO_UzB4pQDQ121GLs8&usqp=CAU","","true","false","2026-01-10T00:00:00.000Z"
